Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
2013/09,4302426,2700341,402740,517285,22352,35566,197944,161770,22976,5776,2236,198,6652,2767,190689,10264,0,22809,61
2013/10,4242968,2746898,389528,483341,21113,36000,141269,152971,22397,5906,2272,182,7165,3320,197476,8634,0,24325,171
2013/11,4064967,2679823,369196,460214,22093,32269,111448,147447,22985,5476,1902,194,4391,3031,178847,6463,0,19188,0
2013/12,4106143,2796243,374013,425439,20516,31596,104416,143694,18993,5498,2067,162,3656,3289,157860,3527,0,15125,49
2014/01,4086708,2755806,379999,433722,17494,31511,112907,139074,19861,6217,2492,196,4550,3198,160769,3567,0,15345,0
2014/02,4128360,2730880,399255,438861,17997,30411,126048,152849,20769,6986,2451,217,4725,2691,174670,4928,0,14521,101
2014/03,4434829,2978296,419494,467848,17866,33256,128924,160272,23628,6138,2022,165,5679,3146,169145,4804,0,14071,75
2014/04,4711890,3020681,475695,518272,19551,35444,194934,185280,29333,7005,2199,264,7187,2815,190756,6142,0,16232,100
2014/05,4831615,2984304,482048,563640,19370,35370,263009,203223,32413,8739,1754,223,7381,2860,205361,5494,0,16257,169
2014/06,4982978,3054230,488207,596453,17330,36260,279728,213979,32084,8516,2164,186,7112,2598,214153,7226,0,22616,136
2014/07,5318778,3220731,551184,629394,19136,36158,298059,232670,31105,9990,2409,281,7445,2712,240653,8242,0,28443,166
2014/08,4986337,3174433,495212,558741,17171,34879,209738,207169,28713,8414,2100,218,8334,2909,204275,7687,0,26323,21
2014/09,4363562,2831873,419790,485804,13865,27831,157745,176215,20448,6129,1858,234,6999,2784,182236,7369,0,22382,0
2014/10,4602545,3015824,441656,500665,17311,28461,137282,179755,27057,6766,2332,198,5026,3361,205633,6186,0,25032,0
2014/11,4370377,2942157,409492,459847,18815,25850,104350,163044,23988,5246,2282,195,4080,3035,180216,4594,0,23186,0
2014/12,4538639,3095250,434989,452156,18373,24708,106009,173441,24392,5786,1917,198,3020,2900,175844,3844,0,15812,0
2015/01,4227660,2873722,395884,435185,17889,23884,103072,162381,22094,5484,1492,199,3763,3015,162550,3040,0,14006,0
